"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 30 01:01:29 GMT 2020","Mon Nov 30 01:01:36 GMT 2020","7060","","","","","","7 Validate left menu -- @1.8 ",""
"passed","Mon Nov 30 01:07:08 GMT 2020","Mon Nov 30 01:07:18 GMT 2020","9443","","","","","","8 Validate left menu -- @1.27 ",""
"passed","Mon Nov 30 00:46:28 GMT 2020","Mon Nov 30 00:46:34 GMT 2020","5900","","","","","","3 Validate left menu -- @1.1 ",""
"passed","Mon Nov 30 00:56:51 GMT 2020","Mon Nov 30 00:56:56 GMT 2020","5742","","","","","","5 Validate left menu -- @1.30 ",""
"passed","Mon Nov 30 00:46:07 GMT 2020","Mon Nov 30 00:46:13 GMT 2020","5443","","","","","","2 Validate left menu -- @1.24 ",""
"passed","Mon Nov 30 00:44:08 GMT 2020","Mon Nov 30 00:44:18 GMT 2020","9432","","","","","","2 Validate left menu -- @1.7 ",""
"passed","Mon Nov 30 00:50:34 GMT 2020","Mon Nov 30 00:50:40 GMT 2020","6109","","","","","","4 Validate left menu -- @1.6 ",""
"passed","Mon Nov 30 00:42:27 GMT 2020","Mon Nov 30 00:42:34 GMT 2020","7133","","","","","","1 Validate left menu -- @1.18 ",""
"passed","Mon Nov 30 01:06:56 GMT 2020","Mon Nov 30 01:07:02 GMT 2020","5650","","","","","","8 Validate left menu -- @1.25 ",""
"passed","Mon Nov 30 00:56:28 GMT 2020","Mon Nov 30 00:56:38 GMT 2020","9598","","","","","","5 Validate left menu -- @1.27 ",""
"passed","Mon Nov 30 00:50:57 GMT 2020","Mon Nov 30 00:51:02 GMT 2020","5464","","","","","","4 Validate left menu -- @1.9 ",""
"passed","Mon Nov 30 00:53:12 GMT 2020","Mon Nov 30 00:53:18 GMT 2020","5465","","","","","","4 Validate left menu -- @1.29 ",""
"passed","Mon Nov 30 00:42:00 GMT 2020","Mon Nov 30 00:42:05 GMT 2020","5465","","","","","","1 Validate left menu -- @1.14 ",""
"passed","Mon Nov 30 01:04:03 GMT 2020","Mon Nov 30 01:04:13 GMT 2020","9303","","","","","","8 Validate search",""
"passed","Mon Nov 30 00:48:15 GMT 2020","Mon Nov 30 00:48:25 GMT 2020","9542","","","","","","3 Validate left menu -- @1.17 ",""
"passed","Mon Nov 30 00:47:08 GMT 2020","Mon Nov 30 00:47:17 GMT 2020","9436","","","","","","3 Validate left menu -- @1.7 ",""
"passed","Mon Nov 30 00:47:29 GMT 2020","Mon Nov 30 00:47:35 GMT 2020","5690","","","","","","3 Validate left menu -- @1.10 ",""
"passed","Mon Nov 30 00:40:30 GMT 2020","Mon Nov 30 00:40:36 GMT 2020","5837","","","","","","1 Validate left menu -- @1.1 ",""
"passed","Mon Nov 30 01:00:53 GMT 2020","Mon Nov 30 01:01:01 GMT 2020","7176","","","","","","7 Validate left menu -- @1.3 ",""
"passed","Mon Nov 30 00:59:15 GMT 2020","Mon Nov 30 00:59:21 GMT 2020","5718","","","","","","6 Validate left menu -- @1.20 ",""
"passed","Mon Nov 30 01:03:18 GMT 2020","Mon Nov 30 01:03:24 GMT 2020","5439","","","","","","7 Validate left menu -- @1.24 ",""
"passed","Mon Nov 30 00:49:39 GMT 2020","Mon Nov 30 00:49:45 GMT 2020","5408","","","","","","3 Validate left menu -- @1.29 ",""
"passed","Mon Nov 30 00:45:17 GMT 2020","Mon Nov 30 00:45:27 GMT 2020","9613","","","","","","2 Validate left menu -- @1.17 ",""
"passed","Mon Nov 30 01:03:58 GMT 2020","Mon Nov 30 01:04:03 GMT 2020","5740","","","","","","7 Validate left menu -- @1.30 ",""
"passed","Mon Nov 30 00:47:58 GMT 2020","Mon Nov 30 00:48:03 GMT 2020","5386","","","","","","3 Validate left menu -- @1.14 ",""
"passed","Mon Nov 30 00:52:10 GMT 2020","Mon Nov 30 00:52:15 GMT 2020","5616","","","","","","4 Validate left menu -- @1.20 ",""
"passed","Mon Nov 30 01:01:19 GMT 2020","Mon Nov 30 01:01:29 GMT 2020","10711","","","","","","7 Validate left menu -- @1.7 ",""
"passed","Mon Nov 30 00:53:33 GMT 2020","Mon Nov 30 00:53:38 GMT 2020","5757","","","","","","5 Validate left menu -- @1.1 ",""
"passed","Mon Nov 30 00:56:11 GMT 2020","Mon Nov 30 00:56:17 GMT 2020","5449","","","","","","5 Validate left menu -- @1.24 ",""
"passed","Mon Nov 30 00:47:35 GMT 2020","Mon Nov 30 00:47:41 GMT 2020","6079","","","","","","3 Validate left menu -- @1.11 ",""
"passed","Mon Nov 30 00:52:21 GMT 2020","Mon Nov 30 00:52:31 GMT 2020","9603","","","","","","4 Validate left menu -- @1.22 ",""
"passed","Mon Nov 30 00:48:32 GMT 2020","Mon Nov 30 00:48:37 GMT 2020","5437","","","","","","3 Validate left menu -- @1.19 ",""
"passed","Mon Nov 30 00:54:06 GMT 2020","Mon Nov 30 00:54:12 GMT 2020","6042","","","","","","5 Validate left menu -- @1.6 ",""
"passed","Mon Nov 30 01:06:10 GMT 2020","Mon Nov 30 01:06:17 GMT 2020","7200","","","","","","8 Validate left menu -- @1.18 ",""
"passed","Mon Nov 30 00:53:18 GMT 2020","Mon Nov 30 00:53:23 GMT 2020","5714","","","","","","4 Validate left menu -- @1.30 ",""
"passed","Mon Nov 30 00:44:31 GMT 2020","Mon Nov 30 00:44:36 GMT 2020","5634","","","","","","2 Validate left menu -- @1.10 ",""
"passed","Mon Nov 30 01:04:28 GMT 2020","Mon Nov 30 01:04:35 GMT 2020","7203","","","","","","8 Validate left menu -- @1.3 ",""
"passed","Mon Nov 30 01:01:48 GMT 2020","Mon Nov 30 01:01:54 GMT 2020","6149","","","","","","7 Validate left menu -- @1.11 ",""
"passed","Mon Nov 30 01:04:53 GMT 2020","Mon Nov 30 01:05:02 GMT 2020","9313","","","","","","8 Validate left menu -- @1.7 ",""
"passed","Mon Nov 30 00:43:51 GMT 2020","Mon Nov 30 00:43:56 GMT 2020","5583","","","","","","2 Validate left menu -- @1.4 ",""
"passed","Mon Nov 30 01:00:29 GMT 2020","Mon Nov 30 01:00:38 GMT 2020","9323","","","","","","7 Validate search",""
"passed","Mon Nov 30 01:02:22 GMT 2020","Mon Nov 30 01:02:28 GMT 2020","6075","","","","","","7 Validate left menu -- @1.16 ",""
"passed","Mon Nov 30 00:51:57 GMT 2020","Mon Nov 30 00:52:04 GMT 2020","7237","","","","","","4 Validate left menu -- @1.18 ",""
"passed","Mon Nov 30 00:45:51 GMT 2020","Mon Nov 30 00:46:00 GMT 2020","9366","","","","","","2 Validate left menu -- @1.22 ",""
"passed","Mon Nov 30 01:02:45 GMT 2020","Mon Nov 30 01:02:50 GMT 2020","5404","","","","","","7 Validate left menu -- @1.19 ",""
"passed","Mon Nov 30 00:58:08 GMT 2020","Mon Nov 30 00:58:13 GMT 2020","5642","","","","","","6 Validate left menu -- @1.10 ",""
"passed","Mon Nov 30 00:44:36 GMT 2020","Mon Nov 30 00:44:42 GMT 2020","6116","","","","","","2 Validate left menu -- @1.11 ",""
"passed","Mon Nov 30 00:54:22 GMT 2020","Mon Nov 30 00:54:29 GMT 2020","7130","","","","","","5 Validate left menu -- @1.8 ",""
"passed","Mon Nov 30 01:05:54 GMT 2020","Mon Nov 30 01:06:00 GMT 2020","6046","","","","","","8 Validate left menu -- @1.16 ",""
"passed","Mon Nov 30 00:58:36 GMT 2020","Mon Nov 30 00:58:41 GMT 2020","5411","","","","","","6 Validate left menu -- @1.14 ",""
"passed","Mon Nov 30 01:01:01 GMT 2020","Mon Nov 30 01:01:06 GMT 2020","5463","","","","","","7 Validate left menu -- @1.4 ",""
"passed","Mon Nov 30 00:40:52 GMT 2020","Mon Nov 30 00:40:58 GMT 2020","5506","","","","","","1 Validate left menu -- @1.4 ",""
"passed","Mon Nov 30 00:47:41 GMT 2020","Mon Nov 30 00:47:51 GMT 2020","9388","","","","","","3 Validate left menu -- @1.12 ",""
"passed","Mon Nov 30 00:57:55 GMT 2020","Mon Nov 30 00:58:02 GMT 2020","7211","","","","","","6 Validate left menu -- @1.8 ",""
"passed","Mon Nov 30 01:01:36 GMT 2020","Mon Nov 30 01:01:42 GMT 2020","5546","","","","","","7 Validate left menu -- @1.9 ",""
